1,2,3,4,5,6,7,8,9,resultado
x,x,x,x,o,o,x,o,o,positivo
x,x,x,x,o,o,o,x,o,positivo
x,x,x,x,o,o,o,o,x,positivo
x,x,x,x,o,o,o,b,b,positivo
x,x,x,x,o,o,b,o,b,positivo
x,x,x,x,o,o,b,b,o,positivo
x,x,x,x,o,b,o,o,b,positivo
x,x,x,x,o,b,o,b,o,positivo
x,x,x,x,o,b,b,o,o,positivo
x,x,x,x,b,o,o,o,b,positivo
x,x,x,x,b,o,o,b,o,positivo
x,x,x,x,b,o,b,o,o,positivo
x,x,x,o,x,o,x,o,o,positivo
x,x,x,o,x,o,o,x,o,positivo
x,x,x,o,x,o,o,o,x,positivo
x,x,x,o,x,o,o,b,b,positivo
x,x,x,o,x,o,b,o,b,positivo
x,x,x,o,x,o,b,b,o,positivo
x,x,x,o,x,b,o,o,b,positivo
x,x,x,o,x,b,o,b,o,positivo
x,x,x,o,x,b,b,o,o,positivo
x,x,x,o,o,x,x,o,o,positivo
x,x,x,o,o,x,o,x,o,positivo
x,x,x,o,o,x,o,o,x,positivo
x,x,x,o,o,x,o,b,b,positivo
x,x,x,o,o,x,b,o,b,positivo
x,x,x,o,o,x,b,b,o,positivo
x,x,x,o,o,b,x,o,b,positivo
x,x,x,o,o,b,x,b,o,positivo
x,x,x,o,o,b,o,x,b,positivo
x,x,x,o,o,b,o,b,x,positivo
x,x,x,o,o,b,b,x,o,positivo
x,x,x,o,o,b,b,o,x,positivo
x,x,x,o,o,b,b,b,b,positivo
x,x,x,o,b,x,o,o,b,positivo
x,x,x,o,b,x,o,b,o,positivo
x,x,x,o,b,x,b,o,o,positivo
x,x,x,o,b,o,x,o,b,positivo
x,x,x,o,b,o,x,b,o,positivo
x,x,x,o,b,o,o,x,b,positivo
x,x,x,o,b,o,o,b,x,positivo
x,x,x,o,b,o,b,x,o,positivo
x,x,x,o,b,o,b,o,x,positivo
x,x,x,o,b,o,b,b,b,positivo
x,x,x,o,b,b,x,o,o,positivo
x,x,x,o,b,b,o,x,o,positivo
x,x,x,o,b,b,o,o,x,positivo
x,x,x,o,b,b,o,b,b,positivo
x,x,x,o,b,b,b,o,b,positivo
x,x,x,o,b,b,b,b,o,positivo
x,x,x,b,x,o,o,o,b,positivo
x,x,x,b,x,o,o,b,o,positivo
x,x,x,b,x,o,b,o,o,positivo
x,x,x,b,o,x,o,o,b,positivo
x,x,x,b,o,x,o,b,o,positivo
x,x,x,b,o,x,b,o,o,positivo
x,x,x,b,o,o,x,o,b,positivo
x,x,x,b,o,o,x,b,o,positivo
x,x,x,b,o,o,o,x,b,positivo
x,x,x,b,o,o,o,b,x,positivo
x,x,x,b,o,o,b,x,o,positivo
x,x,x,b,o,o,b,o,x,positivo
x,x,x,b,o,o,b,b,b,positivo
x,x,x,b,o,b,x,o,o,positivo
x,x,x,b,o,b,o,x,o,positivo
x,x,x,b,o,b,o,o,x,positivo
x,x,x,b,o,b,o,b,b,positivo
x,x,x,b,o,b,b,o,b,positivo
x,x,x,b,o,b,b,b,o,positivo
x,x,x,b,b,o,x,o,o,positivo
x,x,x,b,b,o,o,x,o,positivo
x,x,x,b,b,o,o,o,x,positivo
x,x,x,b,b,o,o,b,b,positivo
x,x,x,b,b,o,b,o,b,positivo
x,x,x,b,b,o,b,b,o,positivo
x,x,x,b,b,b,o,o,b,positivo
x,x,x,b,b,b,o,b,o,positivo
x,x,x,b,b,b,b,o,o,positivo
x,x,o,x,x,o,o,o,x,positivo
x,x,o,x,o,x,x,o,o,positivo
x,x,o,x,o,o,x,o,x,positivo
x,x,o,x,o,o,x,b,b,positivo
x,x,o,x,o,b,x,o,b,positivo
x,x,o,x,o,b,x,b,o,positivo
x,x,o,x,b,o,x,o,b,positivo
x,x,o,x,b,b,x,o,o,positivo
